srcStateName,Year,Crime head IPC ( Indian Penal Code ) Category,Crime head IPC ( Indian Penal Code ) Sub-category,Incidence of IPC ( Indian Penal Code ) crimes,Victims of IPC ( Indian Penal Code ) crimes,IPC ( Indian Penal Code ) Crime Rate
A&N Islands,2018,Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |J) Water Dispute,0,0,0
A&N Islands,2018,Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |K) Land/Property Dispute,0,0,0
A&N Islands,2018,Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |L) Family Disputes,0,0,0
A&N Islands,2018,Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |M) Enmity/Rivalry,3,8,0.8
A&N Islands,2018,Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |N) Electricity/Power Supply Disputes,0,0,0
A&N Islands,2018,Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |O) Rioting while in Aandolan/Morcha,0,0,0
A&N Islands,2018,Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |P) Rioting/Attacks on Police Personnel or Govt Servants,1,2,0.3
A&N Islands,2018,Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |Q) Other Rioting,2,3,0.5
A&N Islands,2018,Offences against Public Tranquillity,Rioting (Sec.147-151 IPC) |Rioting (Total),6,13,1.5
A&N Islands,2018,Offences against Public Tranquillity,"Unlawful Assembly (Sec.143, 144 & 145)",1,,0.3
A&N Islands,2018,Offences against State,Offences against State |Offences against the State (Total),0,0,0
A&N Islands,2018,Offences against State,"Offences against State |Others (Sec.121, 121A, 122 & 123 IPC)",0,0,0
A&N Islands,2018,Offences against State,Offences against State |Sedition (Sec.124A IPC),0,0,0
A&N Islands,2018,Other IPC Crimes,Other IPC Crimes,6,6,1.5
A&N Islands,2018,Total Cognizable IPC crimes,Total Cognizable IPC crimes,706,845,178.3
Andhra Pradesh,2018,Miscellaneous IPC Crimes,"Arson (Sec.435, 436 & 438 IPC)",468,469,0.9
Andhra Pradesh,2018,Miscellaneous IPC Crimes,Cheating by Impersonation (Sec.419 IPC),74,74,0.1
Andhra Pradesh,2018,Miscellaneous IPC Crimes,Circulate False/Fake News/Rumours (Sec.505 IPC/Sec.505 r/w IT Act),15,15,0
Andhra Pradesh,2018,Miscellaneous IPC Crimes,Criminal Intimidation (Sec.506 r/w Other IPC Crimes),1527,1529,2.9
Andhra Pradesh,2018,Miscellaneous IPC Crimes,Criminal Trespass (Sec.447 to 452 IPC),3146,3220,6
Andhra Pradesh,2018,Miscellaneous IPC Crimes,Cruelty by Husband or his Relatives (Sec.498-A IPC),6831,6889,26.2730769230769
Andhra Pradesh,2018,Miscellaneous IPC Crimes,Disobedience to order duly promulgated by Public Servant (Sec.188),572,574,1.1
Andhra Pradesh,2018,Miscellaneous IPC Crimes,Harbouring an Offender (Sec.212/216/216A IPC),1,1,0
Andhra Pradesh,2018,Miscellaneous IPC Crimes,Insult to the Modesty of Women (Sec.509 IPC),1802,1810,6.93076923076923
Andhra Pradesh,2018,Miscellaneous IPC Crimes,Miscellaneous IPC Crimes(Total),52478,55507,100.9
Andhra Pradesh,2018,Miscellaneous IPC Crimes,Obscene Acts and Songs at Public Places (Sec.294),880,961,1.7
Andhra Pradesh,2018,Miscellaneous IPC Crimes,Obstruction on Public way (Sec.283 IPC),48,48,0.1
Andhra Pradesh,2018,Miscellaneous IPC Crimes,Offences related to Mischief (Sec.428 to 433),180,180,0.3
Andhra Pradesh,2018,Miscellaneous IPC Crimes,Offences relating to Adulteration or Sale of Food/Drugs (Sec.272/273/274/275/276 IPC),697,717,1.3
Andhra Pradesh,2018,Miscellaneous IPC Crimes,Offences relating to Elections (Sec.171-E to 171-I r/w IPC/SLL),0,0,0
Andhra Pradesh,2018,Miscellaneous IPC Crimes,Rash Driving on Public way (Sec.279/279 r/w 336/337/338/Other IPC) |A) Rash Driving on Public Way (Sec.279 or Sec.279 r/w 336/Other IPC),24694,25123,47.5
Andhra Pradesh,2018,Miscellaneous IPC Crimes,Rash Driving on Public way (Sec.279/279 r/w 336/337/338/Other IPC) |B) Causing Hurt by Rash/Negligent Driving on Public Way (Sec.279 r/w 337 IPC),8041,9755,15.5
Andhra Pradesh,2018,Miscellaneous IPC Crimes,Rash Driving on Public way (Sec.279/279 r/w 336/337/338/Other IPC) |Rash Driving on Public way (Total),36176,38952,69.5
Andhra Pradesh,2018,Miscellaneous IPC Crimes,Rash Driving on Public way |C) Causing Grievous Hurt by Rash/Negligent Driving on Public way(Sec.279 r/w 338 IPC),3441,4074,6.6
Andhra Pradesh,2018,Miscellaneous IPC Crimes,Sale of obscene Books/Objects (Sec.292 & 293),34,34,0.1
Andhra Pradesh,2018,Offences Relating to Documents & Property Marks,"Counterfeiting |A) Counterfeit Coin (Sec.231-235,237,238-240 & 242-254 IPC)",0,0,0
Andhra Pradesh,2018,Offences Relating to Documents & Property Marks,Counterfeiting |B) Counterfeiting Government Stamp (Sec.255 to 260 IPC),0,0,0
Andhra Pradesh,2018,Offences Relating to Documents & Property Marks,Counterfeiting |C) Counterfeiting of Seal or Mark (Sec.472/473 IPC),0,0,0
Andhra Pradesh,2018,Offences Relating to Documents & Property Marks,Counterfeiting |Counterfeiting (Total),46,46,0.1
Andhra Pradesh,2018,Offences Relating to Documents & Property Marks,Counterfeiting |D) Counterfeit Currency & Bank notes (Sec.489-A to 489-E IPC),46,46,0.1
Andhra Pradesh,2018,Offences Relating to Documents & Property Marks,"Forgery, Cheating & Fraud | Cheating (Sec.420 IPC)",4684,4843,9
